Wall time,Step,Value
1761560043.698775,1000,39.25
1761560189.8897438,1500,48.66666793823242
1761560334.3897152,2000,66.0999984741211
1761560480.93028,2500,46.0
1761560628.0715337,3000,58.5
1761560777.9124248,3500,48.900001525878906
1761560925.9062893,4000,70.0
1761561076.408082,4500,54.400001525878906
1761561228.3230886,5000,67.14286041259766
1761561373.4236572,5500,62.33333206176758
1761561520.6487033,6000,51.5
1761561669.4219186,6500,49.0
1761561817.1837137,7000,49.83333206176758
1761561964.2927449,7500,65.42857360839844
1761562107.375333,8000,76.66666412353516
1761562251.5850308,8500,80.26667022705078
1761562398.9180384,9000,54.25
1761562544.877404,9500,57.153846740722656
1761562696.359216,10000,51.0
1761562844.9445336,10500,50.599998474121094
1761562996.1485658,11000,63.46666717529297
1761563146.350228,11500,47.33333206176758
1761563296.8769112,12000,59.5
1761563445.905458,12500,59.727272033691406
1761563601.504727,13000,48.33333206176758
1761563752.2408912,13500,32.75
1761563900.4368377,14000,69.0
1761564052.0596418,14500,64.07691955566406
1761564199.7646995,15000,44.66666793823242
1761564346.8823538,15500,41.400001525878906
1761564499.1962032,16000,60.11111068725586
1761564647.0646753,16500,52.125
1761564796.3179045,17000,53.0
1761564943.4382553,17500,50.66666793823242
1761565088.9125156,18000,49.22222137451172
1761565240.7437727,18500,66.5
1761565388.037672,19000,76.5
1761565534.5903046,19500,53.20000076293945
1761565679.759565,20000,55.45454406738281
1761565831.9534056,20500,49.25
1761565983.4751601,21000,41.38461685180664
1761566134.1087065,21500,43.55555725097656
1761566283.743142,22000,49.11111068725586
1761566435.1670117,22500,45.58333206176758
1761566587.2625175,23000,43.0
1761566735.7816038,23500,47.57143020629883
1761566884.117001,24000,52.91666793823242
1761567032.9404004,24500,44.79999923706055
1761567185.9665215,25000,40.9375
1761567338.4062057,25500,32.599998474121094
1761567489.9636931,26000,45.25
1761567642.4533937,26500,54.91666793823242
1761567791.1906147,27000,44.6363639831543
1761567939.3221717,27500,39.5
1761568088.5458088,28000,45.58333206176758
1761568239.8934145,28500,41.90909194946289
1761568387.6648946,29000,39.75
1761568537.4349298,29500,53.153846740722656
1761568687.1633675,30000,40.22222137451172
1761568836.2329621,30500,58.88888931274414
1761568987.7633588,31000,42.20000076293945
1761569138.915183,31500,39.727272033691406
1761569289.4401078,32000,42.79999923706055
1761569440.8239415,32500,41.846153259277344
1761569591.5190575,33000,40.400001525878906
1761569743.267416,33500,41.5
1761569892.7244053,34000,34.90909194946289
1761570048.253311,34500,42.83333206176758
1761570200.39879,35000,38.0
1761570353.4823248,35500,48.54545593261719
1761570508.3094344,36000,41.599998474121094
1761570660.0678186,36500,28.299999237060547
1761570814.257715,37000,44.54545593261719
1761570963.8546405,37500,38.625
1761571113.8513253,38000,50.07692337036133
1761571264.9110308,38500,45.5
1761571416.7808533,39000,35.230770111083984
1761571568.7638175,39500,38.92856979370117
1761571720.4892242,40000,39.30769348144531
1761571871.6538863,40500,33.900001525878906
1761572023.8560932,41000,39.0
1761572175.3433568,41500,44.30769348144531
1761572328.6511483,42000,34.35714340209961
1761572485.0971985,42500,44.66666793823242
1761572639.9827328,43000,32.66666793823242
1761572791.1716993,43500,40.21428680419922
1761572946.8232903,44000,37.46154022216797
1761573100.7428005,44500,41.33333206176758
1761573255.8397837,45000,30.44444465637207
1761573411.1984334,45500,29.4375
1761573563.3993626,46000,30.66666603088379
1761573717.134299,46500,31.909090042114258
1761573871.8317604,47000,34.66666793823242
1761574026.075372,47500,40.45454406738281
1761574178.9726262,48000,35.3125
1761574331.400472,48500,34.46154022216797
1761574487.2405102,49000,37.29999923706055
1761574638.1578877,49500,34.54545593261719
1761574791.0277357,50000,52.28571319580078
1761574947.4997807,50500,37.9375
1761575101.5014427,51000,27.0
1761575257.864786,51500,44.16666793823242
1761575413.0557098,52000,38.72222137451172
1761575571.0040424,52500,24.8125
1761575725.959034,53000,32.71428680419922
1761575883.136575,53500,27.0625
1761576038.628033,54000,37.25
1761576193.3806105,54500,31.615385055541992
1761576345.217907,55000,40.57143020629883
1761576495.730864,55500,33.16666793823242
1761576653.1152616,56000,41.117645263671875
1761576809.9461477,56500,32.13333511352539
1761576962.0131285,57000,33.28571319580078
1761577118.4195359,57500,31.266666412353516
1761577275.4653609,58000,23.600000381469727
1761577430.7822206,58500,30.384614944458008
1761577587.85684,59000,42.0625
1761577738.45997,59500,37.0
1761577892.1621969,60000,28.83333396911621
1761578045.062552,60500,38.78571319580078
1761578202.2401357,61000,35.72222137451172
